product,8l_sn,Wlan_Mac,Eth_Mac,BT_Mac,time
MIDI,2240LZ50VRP8,0881B2000D34,0881B2000D35,0881B2000D36,7/10/2022 8:07
MIDI,2240LZ50VV58,0881B2000BFB,0881B2000BFC,0881B2000BFD,6/10/2022 10:01
MIDI,2240LZ50VUC8,0881B2000C4E,0881B2000C4F,0881B2000C50,7/10/2022 3:04
MIDI,2240LZ50VV48,0881B2000BFE,0881B2000BFF,0881B2000C00,6/10/2022 10:06
MIDI,2240LZ50V8H8,0881B2000A4D,0881B2000A4E,0881B2000A4F,5/10/2022 7:15
MIDI,2240LZ50VW08,0881B2000BAA,0881B2000BAB,0881B2000BAC,6/10/2022 7:54
MIDI,2240LZ50V8J8,0881B2000A49,0881B2000A4A,0881B2000A4B,6/10/2022 3:42
MIDI,2240LZ50VTV8,0881B2000C7F,0881B2000C80,0881B2000C81,7/10/2022 2:42
MIDI,2240LZ50VQG8,0881B2000DC4,0881B2000DC5,0881B2000DC6,8/10/2022 0:15
MIDI,2240LZ50VRQ8,0881B2000D37,0881B2000D38,0881B2000D39,7/10/2022 9:10
MIDI,2240LZ50VW38,0881B2000BA1,0881B2000BA2,0881B2000BA3,6/10/2022 7:59
MIDI,2240LZ50VVW8,0881B2000BB9,0881B2000BBA,0881B2000BBB,6/10/2022 8:08
MIDI,2240LZ50MJP8,0881B2000B32,0881B2000B33,0881B2000B34,6/10/2022 4:54
MIDI,2240LZ50VW18,0881B2000BA7,0881B2000BA8,0881B2000BA9,6/10/2022 9:40
MIDI,2240LZ50VSF8,0881B2000D10,0881B2000D11,0881B2000D12,7/10/2022 7:13
MIDI,2240LZ50VR98,0881B2000D6D,0881B2000D6E,0881B2000D6F,7/10/2022 8:57
MIDI,2240LZ50VR58,0881B2000D94,0881B2000D95,0881B2000D96,7/10/2022 10:33
MIDI,2240LZ50VUM8,0881B2000C34,0881B2000C35,0881B2000C36,7/10/2022 0:09
MIDI,2240LZ50VT18,0881B2000CC8,0881B2000CC9,0881B2000CCA,7/10/2022 5:05
MIDI,2240LZ50VUJ8,0881B2000C3C,0881B2000C3D,0881B2000C3E,7/10/2022 0:43
MIDI,2240LZ50MKC8,0881B2000AF8,0881B2000AF9,0881B2000AFA,7/10/2022 4:39
MIDI,2240LZ50VR48,0881B2000D88,0881B2000D89,0881B2000D8A,7/10/2022 10:00
MIDI,2240LZ50VS88,0881B2000D0D,0881B2000D0E,0881B2000D0F,8/10/2022 2:11
MIDI,2240LZ50VUT8,0881B2000C1F,0881B2000C20,0881B2000C21,6/10/2022 10:40
MIDI,2240LZ50V9A8,0881B20009FE,0881B20009FF,0881B2000A00,5/10/2022 4:29
MIDI,2240LZ50VV18,0881B2000C04,0881B2000C05,0881B2000C06,6/10/2022 10:14
MIDI,2240LZ50VSR8,0881B2000CDA,0881B2000CDB,0881B2000CDC,7/10/2022 5:27
